2437 | 3134 | AB7275 | FFTC Running | 214
2437 | 3061 | YQ9713 | ALIV Running | 413
2438 | 2687 | PU5760 | FJSX Running | 97
2447 | 2447 | JS9426 | YIN Running | 131
2454 | 2808 | RH2097 | EOUY Running | 357
2457 | 3164 | TU6670 | FFTC Running | 233
2467 | 3194 | LQ4176 | FFTC Running | 236
2467 | 3091 | YH3200 | ALIV Running | 325
2468 | 2717 | KZ5553 | FJSX Running | 72
2477 | 2597 | VD8516 | SRBM Running | 140
2478 | 2838 | GY4957 | EOUY Running | 258
2482 | 2482 | PD6313 | ALIV Waiting | 336
2484 | 2868 | RY6755 | EOUY Running | 50
2497 | 3224 | QD3715 | FFTC Running | 189
2498 | 2747 | PS5394 | FJSX Running | 27
2500 | 2774 | ME8071 | FJSX Running | 341
2500 | 2500 | UK2328 | BQD Waiting | 200
2505 | 2505 | MS3067 | NSI Running | 362
2507 | 2627 | SI8909 | SRBM Running | 175
2512 | 3121 | AY4844 | ALIV Running | 440
2527 | 3254 | AW2521 | FFTC Running | 291
2528 | 2804 | EQ7970 | FJSX Running | 318
2535 | 2898 | HH7831 | EOUY Running | 230
2537 | 2657 | OF1143 | SRBM Running | 284
2540 | 3151 | EJ1780 | ALIV Running | 188
2542 | 3181 | GU6400 | ALIV Running | 77
2544 | 3284 | LF6163 | FFTC Running | 19
2546 | 2687 | QX8317 | SRBM Running | 2
2557 | 3303 | SE6819 | FFTC Running | 140
2558 | 2834 | LR7917 | FJSX Running | 42
2565 | 2928 | NN2959 | EOUY Running | 145
2567 | 2689 | OO8864 | SRBM Running | 12
2570 | 2570 | AM1241 | DAX Waiting | 8
2572 | 3211 | NV1107 | ALIV Running | 166
2578 | 2578 | AM1241 | DAX Running | 194
2578 | 2578 | JS9426 | YIN Waiting | 260
2586 | 2864 | RV8229 | FJSX Running | 267
2587 | 3333 | ZG7490 | FFTC Running | 188
2588 | 2894 | MN7646 | FJSX Running | 170
2595 | 2958 | UQ1895 | EOUY Running | 266
2597 | 2597 | RX8056 | UQN Running | 30
2597 | 2701 | UJ3059 | SRBM Running | 206
2602 | 3241 | HA4744 | ALIV Running | 256
2606 | 2867 | SU6401 | NSI Running | 476
2617 | 3363 | QJ6920 | FFTC Running | 184
2625 | 2988 | QK2602 | EOUY Running | 369
2627 | 2627 | RX8056 | UQN Waiting | 363
2627 | 2731 | VD8516 | SRBM Running | 110
2627 | 2924 | ZU9699 | FJSX Running | 352
2632 | 3271 | RS7294 | ALIV Running | 179
2647 | 3393 | SF4262 | FFTC Running | 130
2655 | 3018 | YW2452 | EOUY Running | 466
2657 | 2954 | ME1842 | FJSX Running | 254
